Year,Calory number,teaspoons
1970,2,0.1
1971,2,0.1
1972,3,0.2
1973,6,0.4
1974,8,0.5
1975,14,0.9
1976,20,1.2
1977,27,1.7
1978,30,1.9
1979,41,2.6
1980,53,3.3
1981,64,4.0
1982,74,4.6
1983,87,5.4
1984,104,6.5
1985,126,7.9
1986,127,8.0
1987,133,8.3
1988,136,8.5
1989,134,8.4
1990,138,8.6
1991,141,8.8
1992,145,9.1
1993,152,9.5
1994,158,9.9
1995,165,10.3
1996,169,10.6
1997,178,11.1
1998,183,11.4
1999,188,11.7
2000,179,11.2
2001,178,11.1
2002,179,11.2
2003,174,10.9
2004,171,10.7
2005,170,10.6
2006,167,10.5
2007,161,10.1
2008,152,9.5
2009,144,9.0
2010,141,8.8
2011,135,8.5
2012,133,8.3
2013,127,8.0
2014,128,8.0
2015,125,7.8
2016,121,7.6
2017,118,7.4
2018,114,7.1
2019,111,7.0
2020,111,7.0
2021,110,6.9
2022,110,6.9
