Year,number,teaspoons
1970,48,3.0
1971,49,3.1
1972,52,3.2
1973,54,3.4
1974,55,3.5
1975,56,3.5
1976,55,3.4
1977,54,3.4
1978,54,3.4
1979,53,3.3
1980,50,3.1
1981,50,3.1
1982,50,3.1
1983,51,3.2
1984,51,3.2
1985,52,3.2
1986,53,3.3
1987,53,3.3
1988,55,3.4
1989,50,3.1
1990,53,3.3
1991,54,3.4
1992,56,3.5
1993,59,3.7
1994,59,3.7
1995,61,3.8
1996,64,4.0
1997,65,4.1
1998,64,4.0
1999,62,3.9
2000,59,3.7
2001,59,3.7
2002,59,3.7
2003,57,3.6
2004,58,3.6
2005,58,3.6
2006,53,3.3
2007,52,3.3
2008,51,3.2
2009,49,3.1
2010,49,3.1
2011,48,3.0
2012,47,3.0
2013,46,2.9
2014,48,3.0
2015,48,3.0
2016,47,3.0
2017,51,3.2
2018,50,3.2
2019,50,3.1
2020,49,3.1
2021,50,3.1
2022,50,3.1
