Year,Calory number,teaspoons
1970,284,17.8
1971,285,17.8
1972,285,17.8
1973,281,17.6
1974,267,16.7
1975,249,15.5
1976,260,16.3
1977,263,16.4
1978,255,15.9
1979,249,15.6
1980,233,14.6
1981,221,13.8
1982,205,12.8
1983,196,12.2
1984,186,11.6
1985,175,10.9
1986,167,10.5
1987,174,10.9
1988,173,10.8
1989,175,10.9
1990,180,11.2
1991,178,11.1
1992,178,11.1
1993,178,11.1
1994,181,11.3
1995,183,11.4
1996,184,11.5
1997,184,11.5
1998,185,11.5
1999,189,11.8
2000,182,11.4
2001,179,11.2
2002,176,11.0
2003,170,10.6
2004,172,10.7
2005,176,11.0
2006,174,10.9
2007,171,10.7
2008,183,11.4
2009,177,11.1
2010,184,11.5
2011,185,11.6
2012,186,11.6
2013,190,11.9
2014,191,11.9
2015,193,12.0
2016,194,12.2
2017,193,12.0
2018,191,11.9
2019,190,11.9
2020,190,11.9
2021,194,12.1
2022,193,12.1
