Calendar Year,Raw Sugar,Refined Sugar,High-corn,Glucose,Dextrose,Total,Honey,Other Syrups,Total Sweeteners
1966,10235,9565,0,952,415,1367,98,69,11099
1967,10474,9789,3,984,428,1415,89,50,11342
1968,10656,9959,15,1031,444,1489,90,70,11608
1969,10950,10234,33,1061,459,1553,101,61,11949
1970,11163,10433,56,1102,471,1629,103,51,12216
1971,11345,10603,86,1163,482,1731,93,52,12478
1972,11487,10736,121,1257,485,1863,105,52,12756
1973,11429,10681,218,1384,489,2092,95,53,12922
1974,10945,10229,295,1480,486,2262,75,43,12609
1975,10302,9628,527,1515,473,2515,108,43,12294
1976,10893,10180,782,1514,452,2748,100,44,13072
1977,11099,10373,1057,1517,429,3003,100,44,13519
1978,10889,10177,1198,1551,410,3159,120,45,13501
1979,10756,10052,1660,1519,399,3578,117,44,13791
1980,10189,9522,2158,1472,393,4024,94,50,13690
1981,9769,9130,2626,1486,390,4501,96,46,13773
1982,9153,8554,3090,1479,392,4961,104,46,13665
1983,8812,8236,3655,1523,398,5577,116,47,13975
1984,8428,7877,4399,1552,408,6359,108,47,14391
1985,8003,7479,5386,1607,418,7411,104,48,15043
1986,7731,7225,5498,1632,430,7561,121,50,14957
1987,8103,7573,5792,1679,441,7912,107,54,15647
1988,8136,7604,5998,1747,452,8197,104,54,15958
1989,8304,7761,5960,1587,438,7985,97,52,15895
1990,8615,8051,6202,1700,455,8358,103,53,16566
1991,8622,8058,6376,1776,463,8615,116,53,16842
1992,8748,8175,6643,1943,461,9047,126,20,17368
1993,8825,8248,7065,2050,481,9596,135,20,17999
1994,9070,8477,7415,2093,502,10011,126,18,18632
1995,9258,8652,7781,2176,528,10486,120,36,19294
1996,9400,8785,8050,2216,537,10803,131,94,19814
1997,9481,8861,8555,2364,511,11430,129,81,20502
1998,9594,8966,8885,2358,502,11745,130,81,20921
1999,9912,9264,9197,2281,488,11966,147,78,21455
2000,9901,9253,9091,2230,476,11797,157,84,21290
2001,9839,9195,9098,2205,469,11773,134,142,21245
2002,9746,9109,9246,2224,473,11942,153,138,21342
2003,9479,8859,9078,2209,449,11736,146,112,20853
2004,9678,9045,9017,2292,487,11796,130,96,21067
2005,10000,9346,9008,2261,481,11750,155,94,21345
2006,9976,9323,8984,2053,463,11501,167,98,21089
2007,9914,9265,8717,2067,448,11233,149,94,20740
2008,10682,9983,8301,2036,419,10756,151,93,20983
2009,10452,9768,7957,1991,417,10365,141,90,20364
2010,10961,10244,7831,1956,450,10237,160,104,20745
2011,11086,10361,7578,1908,446,9932,169,102,20564
2012,11227,10492,7494,1969,420,9884,174,104,20654
2013,11542,10787,7243,1903,415,9561,183,111,20642
2014,11699,10934,7332,1941,472,9745,207,127,21013
2015,11885,11107,7183,1972,476,9631,207,137,21083
2016,12081,11291,7036,2001,443,9480,202,105,21079
2017,12051,11262,6883,2129,481,9493,232,109,21098
2018,12009,11224,6702,2148,483,9332,218,115,20889
2019,12027,11240,6578,2162,462,9202,207,125,20774
2020,12147,11352,6637,2118,464,9220,222,120,20915
2021,12394,11583,6566,2154,459,9179,242,147,21150
2022,12392,11581,6572,2149,438,9159,220,161,21121
